Date,AFL,ALB,AOS,APD,ATO,BFB,BRO,CHRW,CINF,CLX,CL,CVX,DOV,ESS,EXPD,FRT,GWW,HRL,IBM,ITW,JNJ,KMB,KO,LOW,MKC,MMM,NUE,NVDA,O,PNR,PPG,ROP,SPGI,SWK,SYY,TGT,TROW,WMT,WST,XOM
2023-06,0.0,0.4,0.0,1.75,0.0,0.206,0.0,0.61,0.75,0.0,0.0,0.0,0.0,2.31,0.0,1.08,0.0,0.0,0.0,1.31,0.0,1.18,0.46,0.0,0.0,0.0,0.51,0.04,0.256,0.0,0.0,0.0,0.0,0.8,0.0,0.0,1.22,0.0,0.0,0.0
2023-07,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.275,0.0,0.0,0.0,0.0,0.0,1.1,0.39,0.0,0.0,0.0,0.256,0.22,0.0,0.683,0.0,0.0,0.5,0.0,0.0,0.0,0.19,0.0
2023-08,0.42,0.0,0.0,0.0,0.74,0.0,0.115,0.61,0.0,1.2,0.0,1.51,0.51,0.0,0.0,0.0,1.86,0.0,1.66,0.0,1.19,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.256,0.0,0.65,0.0,0.9,0.0,0.0,1.1,0.0,0.19,0.0,0.91
2023-09,0.0,0.4,0.0,1.75,0.0,0.206,0.0,0.0,0.75,0.0,0.0,0.0,0.0,2.31,0.0,1.09,0.0,0.0,0.0,1.4,0.0,1.18,0.46,0.0,0.0,0.0,0.51,0.04,0.256,0.0,0.0,0.0,0.0,0.81,0.0,0.0,1.22,0.0,0.0,0.0
2023-10,0.0,0.0,0.32,0.0,0.0,0.0,0.13,0.0,0.0,1.2,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.275,0.0,0.0,0.0,0.0,0.0,1.1,0.39,0.0,0.0,0.0,0.256,0.22,0.0,0.683,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
2023-11,0.42,0.0,0.0,0.0,0.805,0.218,0.0,0.61,0.0,0.0,0.0,1.51,0.51,0.0,0.69,0.0,1.86,0.0,1.66,0.0,1.19,0.0,0.46,0.0,0.0,1.5,0.0,0.0,0.256,0.0,0.65,0.0,0.9,0.81,0.0,1.1,0.0,0.0,0.2,0.95
2023-12,0.0,0.4,0.0,1.75,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,2.31,0.0,1.09,0.0,0.0,0.0,1.4,0.0,1.18,0.0,0.0,0.42,0.0,0.54,0.04,0.257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.22,0.19,0.0,0.0
2024-01,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.283,0.0,0.0,0.0,0.0,0.0,1.1,0.0,0.0,0.0,0.0,0.257,0.23,0.0,0.75,0.0,0.0,0.5,0.0,0.0,0.0,0.2,0.0
2024-02,0.5,0.0,0.0,0.0,0.805,0.0,0.13,0.61,0.0,0.0,0.0,1.63,0.51,0.0,0.0,0.0,1.86,0.0,1.66,0.0,1.19,0.0,0.0,0.0,0.0,1.51,0.0,0.0,0.257,0.0,0.65,0.0,0.91,0.0,0.0,1.1,0.0,0.0,0.0,0.95
2024-03,0.0,0.4,0.0,1.77,0.0,0.218,0.0,0.0,0.81,0.0,0.0,0.0,0.0,2.45,0.0,1.09,0.0,0.0,0.0,1.4,0.0,1.22,0.485,0.0,0.0,0.0,0.54,0.04,0.257,0.0,0.0,0.0,0.0,0.81,0.0,0.0,1.24,0.208,0.0,0.0
